model,eps,synth_seed,intervention,accuracy,auc,dp_gap,eo_gap,dp_gap_unm,eo_gap_unm,dp_ratio,eo_ratio
logreg,4.0,6.0,threshold,0.7466077223826438,0.8317639293893482,0.2431816960677503,0.5,0.3179166446671173,0.5133333333333333,0.7649228190690673,0.9740259740259741
logreg,4.0,7.0,reweighting,0.7617867273145427,0.8291716295681132,0.281374486848107,0.5,0.3214608547628793,0.5277777777777778,0.8752993799374379,0.9473684210526315
logreg,4.0,7.0,expgrad,0.7563693046789155,0.745693456891269,0.2291068130056836,0.5833333333333333,0.3214608547628793,0.5277777777777778,0.712705169575564,1.1052631578947367
logreg,4.0,7.0,threshold,0.7325786420667978,0.8324976151872402,0.2054305946900708,0.35,0.3214608547628793,0.5277777777777778,0.6390532210884698,0.6631578947368421
logreg,4.0,8.0,reweighting,0.7627577747680986,0.8301454844390748,0.288520602098221,0.4744444444444444,0.3198512817235155,0.51,0.9020461026247278,0.9302832244008713
logreg,4.0,8.0,expgrad,0.7563437507985588,0.7449163592254108,0.2321319660663072,0.4622222222222222,0.3198512817235155,0.51,0.725749682213141,0.906318082788671
logreg,4.0,8.0,threshold,0.7527150997879027,0.8331588835619741,0.1955996137606949,0.3888888888888888,0.3198512817235155,0.51,0.61153299967006,0.7625272331154682
logreg,4.0,9.0,reweighting,0.7598190785270743,0.8282651732512781,0.2859358370077542,0.4444444444444444,0.3191356181899816,0.5133333333333333,0.8959696778111945,0.8658008658008658
logreg,4.0,9.0,expgrad,0.7567270590039098,0.7473378056817062,0.3669712793733681,0.5277777777777778,0.3191356181899816,0.5133333333333333,1.1498913266237487,1.0281385281385282
logreg,4.0,9.0,threshold,0.7495208647433113,0.8315629803492768,0.1839290678953067,0.3611111111111111,0.3191356181899816,0.5133333333333333,0.576335129680867,0.7034632034632035
logreg,8.0,0.0,reweighting,0.7640865765466486,0.831150928503453,0.2842633419492169,0.5,0.3220900087905567,0.5077777777777778,0.8825587077867506,0.9846827133479212
logreg,8.0,0.0,expgrad,0.7529195308307567,0.7421155213484314,0.2840315018959898,0.75,0.3220900087905567,0.5077777777777778,0.8818389088271441,1.477024070021882
logreg,8.0,0.0,threshold,0.7094268264635984,0.8343792701367454,0.2625817241903603,0.4491094147582697,0.3220900087905567,0.5077777777777778,0.8152433078453779,0.8844605542285399
logreg,8.0,1.0,reweighting,0.7626044514859581,0.8295085009144947,0.2835031169226091,0.5555555555555556,0.3186506687267507,0.508888888888889,0.8896987979200467,1.0917030567685588
logreg,8.0,1.0,expgrad,0.7601512789717119,0.7524237912934938,0.2717956515128478,0.5,0.3186506687267507,0.508888888888889,0.8529580452439534,0.9825327510917029
