model,eps,intervention,n,dp_std,eo_std,acc_std,dp_std_unm,eo_std_unm,acc_std_unm,dp_std_ratio,eo_std_ratio,acc_std_ratio
logreg,8.0,unmitigated,10,0.003439610668464816,0.016316906159312094,0.0012725273663691116,0.003439610668464816,0.016316906159312094,0.0012725273663691116,1.0,1.0,1.0
logreg,inf,expgrad,1,,,,,,,,,
logreg,inf,reweighting,1,,,,,,,,,
logreg,inf,threshold,1,,,,,,,,,
logreg,inf,unmitigated,1,,,,,,,,,
xgboost,1.0,expgrad,10,0.05771545122865431,0.05732072308445309,0.0024316784555880326,0.007252207582211824,0.013731203638456735,0.003281625251657062,7.958328629508408,4.174486417484624,0.7409982155519289
xgboost,1.0,reweighting,10,0.019202661570246075,0.015235238194830544,0.0029853730778743102,0.007252207582211824,0.013731203638456735,0.003281625251657062,2.6478367245507783,1.109534065328511,0.9097239474150319
xgboost,1.0,threshold,10,0.04821411790790023,0.09204612025121404,0.025988174318296142,0.007252207582211824,0.013731203638456735,0.003281625251657062,6.648198822405409,6.703426929990473,7.919299836315365
xgboost,1.0,unmitigated,10,0.007252207582211824,0.013731203638456735,0.003281625251657062,0.007252207582211824,0.013731203638456735,0.003281625251657062,1.0,1.0,1.0
xgboost,2.0,expgrad,10,0.02457201767841472,0.0768973761519482,0.002498066623893599,0.004537616306281624,0.007500342927688193,0.001679581044133949,5.415181897243842,10.25251470410434,1.4873153234363214
xgboost,2.0,reweighting,10,0.010473187926258211,0.006600494639983823,0.0018267003297126937,0.004537616306281624,0.007500342927688193,0.001679581044133949,2.308081428515609,0.8800257139733573,1.0875928470927727
xgboost,2.0,threshold,10,0.05950584632580762,0.15203939568316352,0.029146287515508483,0.004537616306281624,0.007500342927688193,0.001679581044133949,13.11389996625123,20.27099255980635,17.353308205819467
xgboost,2.0,unmitigated,10,0.004537616306281624,0.007500342927688193,0.001679581044133949,0.004537616306281624,0.007500342927688193,0.001679581044133949,1.0,1.0,1.0
xgboost,4.0,expgrad,10,0.023237756883628717,0.04742560855026016,0.002987491609781118,0.004946835151703949,0.008043093809268398,0.000996961644015331,4.6974997490313415,5.8964385689011385,2.9965963361928267
xgboost,4.0,reweighting,10,0.012008464260154054,0.024266750327717208,0.0010399728171817401,0.004946835151703949,0.008043093809268398,0.000996961644015331,2.427504433014654,3.017091545016372,1.0431422546941511
xgboost,4.0,threshold,10,0.10022725398167873,0.18630501563764004,0.01963337904445284,0.004946835151703949,0.008043093809268398,0.000996961644015331,20.260884162908727,23.163352318849356,19.693214039186167
xgboost,4.0,unmitigated,10,0.004946835151703949,0.008043093809268398,0.000996961644015331,0.004946835151703949,0.008043093809268398,0.000996961644015331,1.0,1.0,1.0
xgboost,8.0,expgrad,10,0.02614613420809192,0.06724288020505668,0.0025656245762145495,0.0034526659675703257,0.0053939456991854515,0.000978268343608844,7.572737836116596,12.466362094674245,2.622618418531186
xgboost,8.0,reweighting,10,0.008070616302992342,0.023179682224707236,0.0013391929205587294,0.0034526659675703257,0.0053939456991854515,0.000978268343608844,2.3375027815597558,4.297351793550246,1.3689423043358737
xgboost,8.0,threshold,10,0.09263604443795322,0.15190187024306043,0.03384608596778397,0.0034526659675703257,0.0053939456991854515,0.000978268343608844,26.830294418299054,28.161549766064454,34.59795687850364
xgboost,8.0,unmitigated,10,0.0034526659675703257,0.0053939456991854515,0.000978268343608844,0.0034526659675703257,0.0053939456991854515,0.000978268343608844,1.0,1.0,1.0
xgboost,inf,expgrad,1,,,,,,,,,
xgboost,inf,reweighting,1,,,,,,,,,
xgboost,inf,threshold,1,,,,,,,,,
